year_month,stance,summary
2015_06,neutral,"The texts discuss the vaccination campaigns against influenza in Brazil, emphasizing the importance of reaching vaccination targets and the need for awareness and participation. They highlight that some regions, like Acre, failed to meet vaccination goals, while others, like Alagoas, achieved them. Various municipalities extended their vaccination periods due to low participation rates and targeted different demographics, including teachers and police. The overall message stresses the significance of vaccination in public health efforts."
2015_06,positive,"The text discusses the ongoing vaccination campaigns against the flu in Brazil, highlighting that more than 35 million people have been vaccinated. Various municipalities have surpassed their vaccination targets, with some reaching over 80% coverage. Additionally, it mentions the development of experimental vaccines for HIV and other diseases, emphasizing the importance of vaccination in preventing infections and serious health issues."
2015_07,negitive,"The sentences discuss various opinions, experiences, and controversies surrounding vaccines. Many express discomfort and pain associated with vaccinations, while others mention skepticism, conspiracy theories, and criticisms of vaccination campaigns. There are references to specific vaccines (like HPV and anti-flu) and notable figures, including Jim Carrey, who criticize vaccination policies. Some highlight the lack of available vaccines, while others sarcastically question the efficacy of vaccines, suggesting they sometimes lead to illnesses instead of preventing them."
2015_07,neutral,"A vaccination campaign against rabies for dogs and cats has begun in the rural areas of Nova Serrana, running until July 31. There are also discussions about vaccination against other diseases, such as influenza and meningitis, with various localities addressing low vaccination rates and public health concerns."
2015_07,positive,"The text discusses various aspects of vaccination in Brazil and worldwide, highlighting successes in vaccination campaigns for diseases such as influenza, dengue, hepatitis, and Ebola. It mentions specific locations, such as Rio Branco and Cachoeirinha, achieving or exceeding vaccination targets, and addresses the importance of vaccination for both humans and pets. The effectiveness of new vaccines, including those against malaria and HIV, is also emphasized, alongside calls for public participation in vaccination programs to ensure community health."
2015_08,negitive,"The sentences discuss various experiences and opinions related to vaccinations, expressing discomfort and pain from getting vaccinated, particularly in the arm or buttock. There are complaints about the soreness and side effects following vaccinations, as well as concerns about low vaccination rates among children. Some express disdain for vaccines, while others highlight the necessity of vaccinations for public health, including references to specific vaccines like those for polio and meningitis."
2015_08,neutral,"The text discusses multiple vaccination campaigns in Brazil, primarily focusing on the vaccination against poliomyelitis (polio) and rabies for pets. It highlights the start dates, objectives, and participation rates of these campaigns, urging parents to bring their children for vaccination. Additionally, it mentions the need for vaccinations against other diseases like meningitis and HPV, emphasizing the importance of maintaining vaccination records. The overall tone conveys a sense of urgency to ensure public health through immunization."
2015_08,positive,"The sentences discuss the importance of vaccination against poliomyelitis (polio) and other diseases, emphasizing that vaccination is crucial for protecting children. Various campaigns are highlighted, including the National Vaccination Campaign against polio, which runs from August 15 to 31. The text mentions the availability of vaccines, the goal to immunize millions of children, and the efforts of health officials to increase vaccination rates. It also stresses the safety and efficacy of vaccines and the need for community participation in vaccination efforts."
2015_09,negitive,"The text discusses various individuals' negative sentiments and experiences regarding vaccinations, including fear, pain, and side effects. It highlights concerns about low vaccination coverage for diseases like polio and HPV in Brazil. Some express frustration over the perceived ineffectiveness or drawbacks of vaccines, while others mention logistical issues and the emotional difficulty of vaccinating children or pets. Overall, there is a strong emphasis on discomfort and skepticism toward vaccination."
2015_09,neutral,"The texts discuss various vaccination campaigns in Brazil, particularly for the polio and HPV vaccines. Many regions are extending their vaccination efforts due to not meeting targets, while some areas have successfully achieved their goals. The importance of vaccinating children and adolescents against preventable diseases is emphasized, alongside challenges in public participation and awareness."
2015_09,positive,"The text discusses vaccination campaigns in Brazil, highlighting the ongoing vaccination against poliomyelitis (polio) and the initiation of the second dose of the HPV vaccine for girls aged 9 to 11. Various regions are mentioned, indicating their vaccination rates and goals. The importance of vaccination in preventing diseases is emphasized, along with efforts to reach underserved populations and promote public health awareness."
2015_10,negitive,"The text reflects widespread frustration and concern regarding vaccinations, highlighting individual experiences of pain and side effects after receiving vaccines. It discusses issues of neglect in vaccination programs, leading to the resurgence of diseases, and criticizes the inefficiency in accessing vaccines. There are also mentions of parental anxiety about their children being vaccinated and societal pressures surrounding vaccination."
2015_10,neutral,"The text primarily discusses various vaccination campaigns and their importance in preventing diseases for both humans and animals. It highlights the rollout of vaccines against diseases like HPV, dengue, and rabies, as well as mentions specific events and campaigns in different regions. There are also references to personal experiences with vaccinations, humor related to vaccination fears, and the role of vaccination in public health initiatives."
2015_10,positive,"The text discusses various vaccination campaigns and initiatives in Brazil, highlighting the importance of vaccinations for both humans and animals. It covers topics such as free vaccinations for pets, the HPV vaccine for girls aged 9-13, anti-rabies campaigns, and advancements in vaccines against diseases like tuberculosis and dengue. The text emphasizes the need for awareness and participation in vaccination programs to prevent outbreaks and protect public health."
2015_11,negitive,"The text discusses various experiences and feelings related to vaccinations, including pain, fear, and frustration. Many express discomfort after receiving vaccines, often experiencing soreness or adverse reactions. Additionally, there are concerns about vaccine shortages in Brazil and skepticism about their effectiveness. Some people reflect on the emotional toll of vaccinating pets and children. Overall, the sentiments range from annoyance to fear regarding vaccination processes and their outcomes."
2015_11,neutral,"The text discusses various campaigns and phases of vaccination against foot-and-mouth disease affecting livestock in Brazil, emphasizing the importance of vaccinating the herd to maintain disease-free status. It highlights deadlines for vaccination, awareness campaigns for rural producers, and the impact on meat exportation."
2015_11,positive,"The text discusses various aspects of vaccination, highlighting the importance of immunization against diseases for both humans and animals. It mentions new vaccines, such as the first lung cancer vaccine developed in Cuba, and ongoing vaccination campaigns against rabies, HPV, and foot-and-mouth disease. There are also references to the effectiveness and necessity of vaccinations in public health strategies to prevent diseases. Additionally, it emphasizes the role of vaccines in protecting both individual and community health."
2015_12,negitive,"The text discusses controversies surrounding vaccines in Brazil, particularly the HPV vaccine and claims that a batch of expired rubella vaccine may have caused microcephaly in newborns. The MPF is petitioning to ban the HPV vaccine nationwide due to concerns over its effectiveness and safety. Many express distrust in government vaccination efforts, linking health issues to alleged vaccine failures or conspiracies."
2015_12,neutral,"The text discusses various aspects of vaccination, particularly focusing on the approval and details of the first dengue vaccine in Brazil by Anvisa. It addresses the target demographics for the vaccine, including children up to 14 years and elderly over 60, while noting concerns about the spread of misinformation relating to other vaccines, such as those for rubella and Zika."
2015_12,positive,"The content discusses the approval and development of dengue vaccines in Brazil and Mexico. It highlights the first dengue vaccine registered in the world, the vaccine's effectiveness against various dengue virus types, and ongoing clinical trials involving thousands of participants. Additionally, it mentions public health campaigns emphasizing the importance of vaccinations and debunks myths linking vaccines to conditions like microcephaly."
2016_01,negitive,"The sentences discuss various concerns and experiences related to vaccines, highlighting issues such as pain from vaccination, fear of needles, and reactions to vaccines. Many express frustration over the lack of vaccines in public health facilities, the high costs of certain vaccines, and doubts about their efficacy. Additionally, there are mentions of public health policies, the impact of political decisions on vaccination availability, and concerns about potential side effects, including a controversial association of certain vaccines with health issues like microcephaly."
2016_01,neutral,"The Ministry of Health of Brazil announced updates to the national vaccination calendar, including reducing the HPV vaccine dosage for adolescents and adjustments to other childhood vaccinations. There are also discussions around the development of vaccines for dengue and Zika, with the latter expected to take years before availability. The vaccination coverage against foot-and-mouth disease in Alagoas exceeds 96%."
2016_01,positive,"The sentences discuss various aspects of vaccination and public health initiatives in Brazil, including the importance of vaccines against diseases like Zika, dengue, and HPV. They highlight partnerships between countries, such as Brazil and the USA, to develop new vaccines, and emphasize the significance of vaccination campaigns to prevent outbreaks. Additionally, the text notes the global acknowledgment of handwashing as a critical health measure."
2016_02,negitive,"The text discusses various concerns surrounding vaccines in Brazil, particularly focusing on the HPV vaccine, microcephaly linked to vaccination, and the slow development of vaccines against diseases like Zika. There's public outcry about the lack of vaccines, allegations of vaccine-related health issues, and accusations against the government for mismanagement and lack of funding for vaccine research. The sentiment reflects a mix of skepticism, fear, and frustration regarding vaccination policies and their implications for public health."
2016_02,neutral,"The texts discuss the development of vaccines against the Zika virus, highlighting efforts by institutions like Fiocruz and Butantan, and international collaborations, particularly between Brazil and the USA. There is emphasis on the timeframes for vaccine readiness, varying from one to five years, and the ongoing challenges faced in vaccine research and funding, amidst public health concerns related to Zika and its effects."
2016_02,positive,"The excerpts discuss the urgent need for a vaccine against the Zika virus, highlighting efforts by Brazil and the United States to develop one. They mention partnerships with various laboratories and research institutions, including the Butantan Institute and the University of Texas. There are references to ongoing studies and the adaptation of existing dengue vaccines for Zika. Additionally, the texts caution against misinformation regarding vaccines and emphasize the importance of combating the Aedes aegypti mosquito while vaccine development is underway."
2016_03,negitive,"The text discusses various opinions and experiences related to vaccines, highlighting fears, discomfort, and societal issues surrounding vaccination campaigns. Many express dislike for vaccines, recount painful experiences, and mention shortages or lack of availability. There are also concerns about vaccine safety and effectiveness, particularly regarding specific diseases like H1N1 and Zika."
2016_03,neutral,"The text discusses various vaccination campaigns in Brazil, including those against foot-and-mouth disease, rabies, HPV, and H1N1. It highlights the urgency of vaccination due to outbreaks, public health initiatives, and the need for timely vaccination to prevent diseases. Additionally, it features personal anecdotes about taking pets for vaccination and the challenges faced by individuals regarding their vaccinations."
2016_03,positive,"In Brazil, there is a strong emphasis on vaccination, particularly against HPV for boys and girls aged 9 to 13, as advocated by a Nobel Prize-winning doctor. Additionally, campaigns for rabies vaccination in pets and national initiatives against diseases like dengue and H1N1 are underway. Vaccination is highlighted as crucial for public health, with ongoing efforts to enhance awareness and accessibility."
2016_04,negitive,"The text discusses various issues related to the H1N1 vaccination in Brazil, including shortages of vaccines, rising costs, and public frustration. It highlights incidents where vaccinations were mishandled, such as patients receiving insulin instead of the vaccine. There's a strong sentiment against mandatory vaccinations, fears of side effects, and criticism of government priorities, especially regarding the vaccination of prisoners over the general public."
2016_04,neutral,"The texts discuss various vaccination campaigns against H1N1 and rabies in Brazil. They highlight the urgency for vaccinations due to rising flu cases, the long lines at clinics, and public health efforts to immunize vulnerable populations. The government is distributing vaccines, with specific dates and locations announced for public access."
2016_04,positive,"The text discusses various vaccination campaigns in Brazil, focusing on the importance of vaccinations against HPV and H1N1. It highlights efforts by health authorities to encourage girls to get vaccinated against HPV, the organization of vaccination days for the flu, and the urgency of vaccination in response to outbreaks. Additionally, it mentions the vaccination of pets against rabies and public health initiatives to ensure widespread immunization among vulnerable groups."
2016_05,negitive,"The text discusses various concerns and experiences related to vaccinations, particularly for the H1N1 flu and other vaccines. Many individuals express fear, anxiety, and physical discomfort after receiving vaccines, often highlighting pain in their arms and side effects. There are complaints about the lack of vaccine availability in health centers, dissatisfaction with government actions regarding vaccination campaigns, and criticism of prioritizing certain groups over others. Overall, the sentiments reflect frustration, fear of needles, and the societal issues surrounding vaccination accessibility."
2016_05,neutral,"The provided texts discuss various vaccination campaigns in Brazil, including those against H1N1, influenza, and foot-and-mouth disease. They highlight the importance of vaccination, reports of vaccine shortages in several cities, efforts to increase public awareness, and specific vaccination events. The overall message emphasizes the need for proper vaccination coverage and ongoing public health initiatives."
2016_05,positive,"The text discusses various vaccination campaigns in Brazil, particularly against influenza (H1N1) and foot-and-mouth disease for livestock. It emphasizes the importance of vaccination for specific groups, such as children, pregnant women, and the elderly. There are mentions of vaccination rates, the availability of vaccines, and health authorities encouraging the public to get vaccinated to prevent outbreaks. The campaigns aim to achieve high coverage rates and have reported significant participation from the public."
2016_06,negitive,"The text discusses various opinions and experiences related to vaccinations, particularly in Brazil. Many express fear, pain, and frustration associated with getting vaccinated, often highlighting side effects and feeling unwell afterward. There are also concerns about the availability of vaccines, particularly in Acre, which has the lowest vaccination coverage for influenza in the country. Some comments reflect a distrust of vaccines and the healthcare system, while others emphasize the necessity of vaccination for public health."
2016_06,neutral,"The texts discuss various vaccination campaigns and updates in Brazil, focusing on the flu, rabies, and other diseases. They mention extensions of vaccination deadlines, requirements for proof of vaccination for travel, and the introduction of new vaccines. Additionally, there are references to personal experiences and public health initiatives aimed at increasing vaccination rates among different populations."
2016_06,positive,"The texts discuss various vaccination initiatives and studies in Brazil. Highlights include the availability of the H1N1 vaccine for children, significant vaccination coverage achievements in various municipalities, and promising research on cancer vaccines. Additionally, there are mentions of the development of vaccines for diseases like dengue and zika, emphasizing the importance of vaccination in public health."
2016_07,negitive,"The text discusses various opinions and reactions to vaccinations, highlighting fears, pain, and skepticism about their efficacy, particularly regarding the dengue vaccine in Brazil. Many express discomfort and negative experiences related to vaccinations, alongside criticisms of government actions regarding vaccine availability and costs. There are also humorous takes on the situation, emphasizing the societal attitudes toward vaccines and the emotional responses they provoke."
2016_07,neutral,"The text covers various topics related to vaccination in Brazil, including the scheduling and availability of vaccines against diseases like polio, dengue, and HPV. It highlights upcoming vaccination campaigns, the importance of vaccination for children and animals, and mentions the costs associated with some vaccines. Additionally, it addresses public health concerns and the need for community participation in vaccination efforts."
2016_07,positive,"The text discusses various aspects of vaccination, including the development and testing of vaccines against diseases like Zika, dengue, hepatitis, and HPV. It emphasizes the importance of vaccination for public health, mentions specific vaccination campaigns in Brazil, and highlights personal anecdotes about vaccination experiences. There's also discussion about the necessity of keeping vaccination records up to date and the role of vaccines in preventing outbreaks of diseases like yellow fever and rabies."
2016_08,negitive,"The text discusses various opinions and experiences regarding vaccines, particularly the dengue vaccine, which is criticized for its high prices (ranging from R$ 750 to R$ 915) and painful side effects. Many express a strong dislike for vaccinations in general, recounting their personal discomfort and fears related to getting vaccinated, while also highlighting the financial burden and accessibility issues associated with vaccines."
2016_08,neutral,"The articles discuss various vaccination initiatives in Brazil, particularly focusing on the intensification of HPV vaccination in schools, the introduction and sales of dengue vaccines at high prices, and the ongoing vaccination campaigns against rabies and other diseases. Concerns about the affordability of vaccines and low vaccination coverage rates are also highlighted. Additionally, there are mentions of new vaccine trials for Zika and dengue, alongside calls for reporting abusive pricing practices."
2016_08,positive,"The texts discuss various vaccines currently in development or available in Brazil, including those against Zika, dengue, and esquistossomose. The U.S. has initiated human trials for a Zika vaccine, while Brazil is rolling out dengue vaccination campaigns. There are also mentions of vaccination against diseases like HPV, rubella, and rabies, emphasizing the importance of vaccination for public health."
2016_09,negitive,"The sentences express a strong aversion to vaccinations, highlighting fears, pains, and negative experiences associated with them. Many mention physical discomfort following vaccinations, such as sore arms and reactions like fever. There are also concerns about vaccine shortages and safety, particularly regarding pets. The overall sentiment reflects anxiety and disdain for the vaccination process."
2016_09,neutral,"The text discusses various vaccination campaigns in Brazil, including those for dogs and cats against rabies, and vaccinations for children and adolescents. It mentions specific dates and locations for vaccination events, such as the ""Dia D"" for rabies vaccination and the national campaign for updating vaccination records. The text reflects public reactions, experiences with vaccinations, and the importance of compliance with vaccination schedules."
2016_09,positive,"Brazilian researchers have developed a vaccine against cocaine addiction, which is currently being tested on animals. Meanwhile, a national vaccination campaign for children and adolescents, featuring Zé Gotinha and Carreta Furacão, begins on September 19, aiming to update vaccination records and promote health awareness."
2016_10,negitive,"The provided sentences discuss a variety of experiences and sentiments related to vaccinations. Common themes include fear and anxiety about receiving vaccines, physical pain and side effects afterward, and frustrations with the healthcare system regarding vaccine availability. Some also express skepticism or negative beliefs about vaccines, while others share humorous or relatable anecdotes about the challenges of vaccination, especially for children and pets."
2016_10,neutral,"The text contains various references to vaccination campaigns in Brazil, highlighting the importance of vaccines for children, animals, and specific diseases like HPV, rabies, and foot-and-mouth disease. It discusses public health initiatives, personal experiences with vaccination, and mentions upcoming vaccination events and requirements. The overall sentiment includes humor and anxiety about receiving vaccines, particularly in children and pets."
2016_10,positive,"The sentences discuss various vaccination campaigns and recommendations in Brazil, emphasizing the importance of vaccinations for children, especially against HPV and rabies. Specific age groups, such as girls aged 9-13 and boys aged 12-13, are highlighted for HPV vaccination. Additionally, there are mentions of new vaccine developments, including those for dengue and cancer, as well as the role of organizations like Fiocruz in these initiatives. The overall message stresses the necessity of maintaining updated vaccination records to ensure health and prevent diseases."
2016_11,negitive,"The text discusses various aspects of vaccination, highlighting concerns about expired vaccines being administered to infants and the general discomfort and fear associated with vaccinations. It also mentions the importance of animal vaccinations and the public's frustrations regarding vaccine availability and side effects. There are references to public health issues, misinformation surrounding vaccines, and a mix of humorous and serious reactions from individuals about their vaccination experiences."
2016_11,neutral,"The text discusses vaccination campaigns in Brazil, focusing on mandatory vaccines for both humans and animals, particularly against foot-and-mouth disease and rabies. It highlights the importance of immunization, mentions specific vaccination phases, and shares personal experiences and opinions about getting vaccinated, including fears and preferences regarding vaccine administration."
2016_11,positive,"The content discusses various vaccination campaigns and initiatives in Brazil, emphasizing the importance of vaccinating both animals and humans against diseases like foot-and-mouth disease, rabies, HPV, and dengue. It highlights upcoming vaccination days, availability of vaccines, and the need for public awareness in maintaining vaccination schedules for pets and livestock."
2016_12,negitive,"The text discusses various personal experiences and opinions regarding vaccinations, primarily highlighting the common fears, pains, and discomfort associated with getting vaccinated. It also touches on skepticism about vaccines, humorous comparisons, and mentions issues like allergic reactions in pets and problems with vaccine supply. Overall, it reflects a mix of anxiety, frustration, and occasional humor about the vaccination process."
2016_12,neutral,"The text discusses various vaccination campaigns, including those for cattle against foot-and-mouth disease, rabies, and other diseases. It emphasizes the importance of vaccination schedules for both livestock and pets, mentions government initiatives to facilitate vaccinations, and highlights specific cases where vaccines are crucial for public health, like dengue and HPV."
2016_12,positive,"The text discusses various vaccination efforts in Brazil, including the introduction of a dengue vaccine being tested by the Butantan Institute, the high vaccination rates against foot-and-mouth disease in livestock, and the importance of vaccinations for both humans and pets. It also highlights the effectiveness of the Ebola vaccine, which has shown 100% efficacy in trials. The text emphasizes the significance of vaccinations in preventing diseases and the ongoing campaigns to promote vaccination awareness."
2017_01,negitive,"The passages mainly express frustration and fear associated with vaccines, particularly against the backdrop of a febre amarela outbreak. Many individuals report experiencing pain and discomfort after vaccinations, while others complain about the difficulties in accessing vaccines, such as long lines and shortages. There's also a recurring theme of anxiety about the side effects of vaccines, alongside skepticism towards vaccination campaigns and the healthcare system. Some express outright resistance to getting vaccinated, influenced by personal beliefs or misinformation."
2017_01,neutral,"The sentences discuss the importance and logistics of vaccinations, particularly focusing on the HPV vaccine being made available for boys aged 12 to 13 in Brazil. There are also mentions of the ongoing vaccination campaigns against yellow fever, with increased public concern leading to higher demand for vaccines. The narrative reflects personal experiences, humor, and societal attitudes towards vaccinations."
2017_01,positive,"Penápolis will participate in the yellow fever vaccination campaign. The HPV vaccination has also been initiated for boys aged 12 to 13, with the goal of vaccinating over 735,000 boys in São Paulo. Additionally, a new dengue vaccine is expected by 2019, with investments for its production underway."
2017_02,negitive,"The sentences express a common frustration and anxiety surrounding vaccinations, particularly for diseases like tetanus and yellow fever. Many complain about pain in their arms, the long waiting times at clinics, and negative experiences related to receiving vaccines. There are also comments on the fear of needles, the burden of mandatory vaccinations for traveling, and reactions to vaccines that leave individuals feeling unwell. Overall, the sentiment reflects a mix of dread, annoyance, and physical discomfort associated with the vaccination process."
2017_02,neutral,"The text discusses the importance of vaccination against yellow fever, especially in relation to travel requirements, health recommendations, and the necessity of having proof of vaccination for certain destinations like Panama and Nicaragua. It also highlights the ongoing efforts and challenges in providing vaccines, the public's reactions to vaccination, and the various health guidelines associated with the vaccine, such as contraindications for specific populations."
2017_02,positive,"The text discusses various vaccination efforts in Brazil, particularly against yellow fever and the Zika virus. It highlights the urgent need for vaccination due to outbreaks, with many health campaigns and increased vaccine availability in response to rising cases. Additionally, it mentions the effectiveness of a new vaccine against HIV."
2017_03,negitive,"The texts express widespread anxiety, frustration, and humor regarding vaccinations, particularly against yellow fever. Many individuals share their experiences of preparing to receive vaccines, often highlighting long wait times, pain, and fears of side effects. There are also criticisms of government inefficiencies, misinformation about vaccines, and personal anecdotes of reluctance to get vaccinated, reflecting broader societal concerns about health and safety."
2017_03,neutral,"The text discusses the ongoing vaccination campaigns in Brazil, particularly focusing on the yellow fever vaccine. It mentions the government's efforts to increase vaccine availability, changes in vaccination schedules, public reactions to vaccination, and the challenges faced, such as long queues and incidents affecting vaccination sites. There are also references to the necessity of vaccination due to health risks and requirements for travel."
2017_03,positive,"The text discusses various aspects of vaccination, including personal experiences with vaccines, the importance of vaccinations against diseases like yellow fever and HPV, and government initiatives to increase vaccination rates. It highlights both the emotional reactions to vaccinations and the logistical efforts to ensure widespread vaccination during outbreaks, particularly in Brazil."
2017_04,negitive,"The texts reflect widespread anxiety and negative sentiments around vaccinations, particularly the yellow fever vaccine. Many express fear of needles, concern about adverse reactions, and frustration with the vaccination process, including long wait times and lack of availability. Some mention specific incidents of adverse reactions or deaths linked to vaccines, contributing to skepticism. Overall, there is a strong emotional response to the idea of vaccination, ranging from dread to outright refusal."
2017_04,neutral,"The text discusses the vaccination campaigns against yellow fever and rabies in Brazil, emphasizing the need for immunization, the introduction of a single dose for yellow fever, and the public's mixed feelings about vaccination. It highlights the ongoing efforts to increase vaccination rates amidst public health concerns."
2017_04,positive,"The Portuguese sentences discuss various vaccination campaigns, particularly against yellow fever and influenza. They highlight the importance of vaccination for public health, emphasizing ongoing efforts to immunize populations, including children, pregnant women, and healthcare workers. The text also notes successful vaccine tests for diseases like Zika and diabetes, along with calls to address misinformation about vaccines."
2017_05,negitive,"The sentences express a strong dislike and fear of vaccinations, particularly the flu shot. Many individuals report experiencing pain and discomfort in their arms after receiving the vaccine, often feeling ill or expressing concern about potential side effects. Some mention instances of being forced to get vaccinated by family members, while others express skepticism about the efficacy of vaccines, linking them to negative health outcomes. There is also mention of anti-vaccine sentiments and a growing movement against vaccinations, which raises public health concerns. Overall, there's a mix of humor, frustration, and anxiety surrounding the topic of vaccinations."
2017_05,neutral,"The text discusses the ongoing vaccination campaigns in Brazil, particularly against influenza (the flu) and foot-and-mouth disease (aftosa). It highlights low participation rates in flu vaccinations, with some regions achieving less than 30% coverage. There are ongoing efforts to encourage vaccination among various groups, including children, pregnant women, and livestock. The campaigns have been extended multiple times due to low demand and are crucial for public health."
2017_05,positive,"The provided Portuguese sentences discuss various topics related to vaccination, including the importance of vaccines against diseases like influenza, HPV, and yellow fever, as well as campaigns promoting immunization for specific groups such as children, the elderly, and pregnant women. It emphasizes ongoing vaccination efforts, public health initiatives, and the necessity of maintaining vaccination schedules to enhance community health and prevent outbreaks. Additionally, there are mentions of the development and efficacy of vaccines, as well as concerns regarding anti-vaccination sentiments and their impact on public health."
2017_06,negitive,"The texts discuss various aspects of vaccination, particularly against flu and diseases like measles and hepatitis. They highlight public health campaigns, reactions to vaccines (including pain and illness), and concerns about vaccine safety and efficacy. There are also mentions of anti-vaccine sentiments and individual experiences with vaccination, including fear and skepticism. Overall, the discourse reflects a mix of support for vaccination and criticism of its perceived side effects and safety."
2017_06,neutral,"The text discusses various vaccination campaigns in Brazil, focusing primarily on the flu vaccine and its availability to the general population. The government has extended the vaccination periods due to low uptake and emphasizes the importance of immunization against diseases like H1N1 and yellow fever. Specific campaigns for foot-and-mouth disease vaccination for livestock and HPV vaccination for boys and girls are also mentioned. The texts reflect public reactions, experiences, and challenges related to vaccination."
2017_06,positive,"The text discusses the Brazilian government's decision to make the flu vaccine available to the entire population starting on June 5. It emphasizes the importance of vaccination in preventing flu and related complications, highlighting various campaigns and initiatives across the country. The text also mentions the successful vaccination drives in different states and the promotion of HPV vaccines for both boys and girls. Overall, it advocates for public health and vaccination awareness."
2017_07,negitive,"The text discusses various challenges regarding vaccination, particularly the HPV vaccine in Brazil. It highlights prejudice, misinformation, and low demand for vaccines, which worry health authorities. There are also mentions of personal experiences with vaccine reactions, criticisms of anti-vaccine movements, and the need for public awareness."
2017_07,neutral,"The texts discuss various vaccination events and campaigns in Brazil, including the BCG vaccine against tuberculosis, vaccination against rabies for pets, and immunization against diseases like HPV and yellow fever. It highlights the importance of vaccination, public health initiatives, and personal experiences related to getting vaccinated. Additionally, there are mentions of vaccine scarcity and public perceptions about vaccines."
2017_07,positive,"The texts discuss various aspects of vaccination, highlighting its importance for public health, the introduction of new vaccines, and ongoing vaccination campaigns in Brazil. Key topics include the need for vaccination against diseases like HPV, HIV, and Zika, as well as the role of public awareness and education in increasing vaccination rates. The texts also mention innovative approaches, such as using fun music to promote immunization and the development of needle-free vaccine delivery methods. Overall, they emphasize that vaccination is a crucial preventive measure against infectious diseases."
2017_08,negitive,"The text discusses various opinions and experiences regarding vaccinations, particularly focusing on pain and discomfort associated with receiving them. It touches on the stigma and hesitance surrounding vaccines, including the HPV vaccine, and mentions a rise in anti-vaccination sentiments. There are also references to the importance of vaccination in preventing diseases and public health concerns related to declining vaccination rates."
2017_08,neutral,"The text discusses various aspects of vaccination in Brazil, including the upcoming Zika vaccine, low demand for HPV vaccines, personal experiences with vaccination, and campaigns for rabies vaccination for pets. It highlights societal attitudes towards vaccination, including fears, humor, and the significance of vaccination for public health."
2017_08,positive,"The messages primarily focus on the importance of vaccination, specifically for various diseases including HPV, rabies, and yellow fever. They encourage people to adopt pets that are healthy, vaccinated, and ready for a new family. Additionally, there are mentions of campaigns promoting vaccinations for both animals and humans, emphasizing the need for public awareness and participation in these health initiatives."
2017_09,negitive,"The text reflects a societal discourse around vaccination, highlighting a mix of concerns, fears, and opinions. It mentions the historical context of scientific advancement in 1956 versus contemporary skepticism and conspiracy theories from 2017, including anti-vaccine movements, the belief in a flat Earth, and climate change denial. There are personal anecdotes about the pain and discomfort associated with vaccinations, alongside criticism of misinformation surrounding vaccines and their perceived dangers. The narrative conveys a sense of frustration regarding public health measures and the rise of irrational beliefs in society."
2017_09,neutral,"The text discusses various vaccination campaigns for both humans and animals in Brazil, highlighting the importance of vaccinations against diseases like rabies, HPV, and yellow fever. It features personal anecdotes about the challenges and experiences of taking pets or children to get vaccinated, as well as reminders about campaign deadlines and locations for vaccination clinics. Overall, it emphasizes public health awareness and the need for updated vaccination records."
2017_09,positive,"The text discusses various aspects of vaccination in Brazil, highlighting campaigns for vaccines against diseases like HPV and rabies, the importance of updating vaccination records, and efforts to improve public health. It emphasizes the country's high vaccination coverage, the availability of vaccines for children and adolescents, and ongoing studies on vaccines, including those for Zika."
2017_10,negitive,"The sentences discuss a range of opinions and experiences regarding vaccinations, particularly focusing on the pain associated with receiving them, the fear of needles, and personal anecdotes about getting vaccinated. There are also mentions of the consequences of refusing vaccinations, including legal repercussions for parents who do not vaccinate their children. Additionally, some express skepticism about vaccine efficacy, citing the rise of anti-vaccine sentiments and public health concerns related to unvaccinated populations."
2017_10,neutral,"The text discusses various aspects of vaccination, including the importance of updating vaccination records for children, the approval of plans to phase out cattle vaccination against foot-and-mouth disease, and the launch of rabies vaccination campaigns for pets. There are also references to misconceptions about vaccines, such as false claims regarding HPV vaccines. Additionally, it highlights the urgency of getting vaccinated due to outbreaks, especially in relation to diseases like measles and yellow fever. Overall, the content focuses on public health initiatives, vaccination campaigns, and common public attitudes toward vaccinations."
2017_10,positive,"The texts discuss various aspects of vaccination, including personal experiences, public health campaigns, and the significance of vaccines in preventing diseases like yellow fever, HPV, measles, and rabies. They highlight the importance of keeping vaccinations up-to-date, address public health alerts regarding outbreaks, and encourage participation in vaccination campaigns for both humans and pets. Additionally, some posts express humor or skepticism about vaccines and discuss the societal implications of vaccination rates."
2017_11,negitive,"The text discusses various frustrations and fears related to vaccines, particularly highlighting experiences of pain and anxiety during vaccinations. It mentions the controversy surrounding the dengue vaccine, emphasizing that it should not be administered to individuals who have never had dengue due to potential risks. Concerns about misinformation and vaccine hesitancy are also present, alongside personal anecdotes about the emotional impact of vaccinations on both adults and children."
2017_11,neutral,"The text is primarily about vaccination campaigns in Brazil, focusing on various diseases such as foot-and-mouth disease and dengue. It highlights the start of vaccination phases, the importance of keeping vaccination records up to date, and the need for public participation. Additionally, there are mentions of specific vaccination events and recommendations from health authorities regarding who should receive certain vaccines. There is also a discussion about the challenges faced in maintaining adequate vaccination coverage among the population."
2017_11,positive,"The sentences discuss the importance of vaccination for both humans and animals, expressing gratitude for vaccines and highlighting personal experiences with them. They also emphasize the need for public health measures, such as campaigns against diseases like rabies and yellow fever, and the development of new vaccines, including for addiction and illnesses like leishmaniasis and HPV. Overall, there's a strong advocacy for vaccination as essential for health and well-being."
